,imdbId,title,releaseYear,genre,actors,directors,hitFlop
571,tt1087856,Hello,2008,Drama | Romance,Bharati Achrekar | Amrita Arora | Sharman Joshi | Katrina Kaif,Atul Agnihotri,2
572,tt1090650,Dhokha,2007,Action | Drama | Romance,Muzammil Ibrahim | Tulip Joshi | Aushima Sawhney | Bharat Dabholkar,Pooja Bhatt,1
573,tt1091229,Chandni Chowk to China,2009,Action | Adventure | Comedy,Akshay Kumar | Deepika Padukone | Mithun Chakraborty | Ranvir Shorey,Nikhil Advani,1
574,tt1092005,Golmaal Returns,2008,Comedy | Crime | Drama,Amrita Arora | Leigh Barwell | Robin Bhatt | Ajay Devgn,Rohit Shetty,6
575,tt1093370,Jab We Met,2007,Comedy | Romance,Shahid Kapoor | Kareena Kapoor | Tarun Arora | Dara Singh,Imtiaz Ali,6
576,tt1093387,Sab Kuch Hai Kuch Bhi Nahin,2005,Drama,Brian Dawson | Vikram Gokhale | Puja Gupta | A.K. Hangal,Abhik Bhanu,1
577,tt1095038,Victoria No. 203: Diamonds Are Forever,2007,Comedy | Crime | Mystery,Anupam Kher | Om Puri | Jimmy Shergill | Soniya Mehra,Anant Mahadevan,1
578,tt1099196,Dil Dosti Etc,2007,Comedy | Crime | Drama,Imaaduddin Shah | Shreyas Talpade | Smriti Mishra | Nikita Anand,Manish Tiwary,2
579,tt1101665,Shaurya: It Takes Courage to Make Right... Right,2008,Crime | Drama | Thriller,Rahul Bose | Javed Jaffrey | Minissha Lamba | Seema Biswas,Samar Khan,2
580,tt1105709,8 x 10 Tasveer,2009,Crime | Drama | Mystery,Akshay Kumar | Ayesha Takia | Javed Jaffrey | Girish Karnad,Nagesh Kukunoor,1
581,tt1105733,Kismat Konnection,2008,Comedy | Drama | Romance,Shahid Kapoor | Vidya Balan | Vishal Malhotra | Om Puri,Aziz Mirza,2
582,tt1105747,Yuvvraaj,2008,Comedy | Drama | Romance,Salman Khan | Anil Kapoor | Zayed Khan | Mithun Chakraborty,Subhash Ghai,1
583,tt1114725,Heroes,2008,Action | Adventure | Comedy,Sohail Khan | Vatsal Seth | Amrita Arora | Riya Sen,Samir Karnik,2
