,Actor,Top Genres
285,Aashish Chaudhary,"[('Comedy', 7), ('Drama', 5), ('Crime', 2)]"
286,Arunoday Singh,"[('Drama', 3), ('Thriller', 3), ('Comedy', 1)]"
287,Rajat Kapoor,"[('Drama', 10), ('Comedy', 5), ('Crime', 3)]"
288,Jahan Bloch,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
289,Nitin,"[('Drama', 1), ('Horror', 1), ('Mystery', 1)]"
290,Anita,"[('Action', 1), ('Comedy', 1), ('Crime', 1)]"
291,Rohit Roy,"[('Drama', 1), ('Thriller', 1)]"
292,Sonali Kulkarni,"[('Drama', 6), ('Thriller', 4), ('Adventure', 1)]"
293,Prateik,"[('Drama', 3), ('Crime', 2), ('Comedy', 1)]"
294,Asrani,"[('Comedy', 7), ('Action', 3), ('Romance', 3)]"
295,Omkar Das Manikpuri,"[('Sci-Fi', 2), ('Comedy', 1), ('Romance', 1)]"
296,Rana Jung Bahadur,"[('Action', 3), ('Comedy', 2), ('Drama', 2)]"
297,Anay,"[('Comedy', 1), ('Drama', 1)]"
298,Meghan Jadhav,"[('Comedy', 1), ('Animation', 1), ('Drama', 1)]"
299,Ruslaan Mumtaz,"[('Drama', 1), ('Romance', 1)]"
300,Joseph Armillas,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
301,Sudhanshu Pandey,"[('Drama', 2), ('Adventure', 1), ('Romance', 1)]"
302,Sonam Kapoor,"[('Drama', 9), ('Romance', 7), ('Comedy', 5)]"
303,Mantra,"[('Drama', 2), ('Comedy', 1), ('Romance', 1)]"
304,Gayatri Patel Bahl,"[('Crime', 1), ('Drama', 1), ('Musical', 1)]"
305,Bobby Bahal,"[('Comedy', 1)]"
306,Siddharth,"[('Drama', 2), ('Crime', 1)]"
307,Deepika Padukone,"[('Drama', 12), ('Romance', 10), ('Comedy', 9)]"
308,Ravi Kapoor,"[('Crime', 1), ('Drama', 1), ('Sport', 1)]"
309,Anuj Saxena,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
310,Aditya Narayan,"[('Action', 1), ('Drama', 1), ('Horror', 1)]"
311,Shahana Goswami,"[('Drama', 4), ('Romance', 3), ('Action', 1)]"
312,Paul Sidhu,"[('Action', 1), ('Drama', 1), ('Thriller', 1)]"
313,Arun Govil,"[('Animation', 1)]"
314,Hazel Croney,"[('Drama', 5), ('Romance', 4), ('Horror', 1)]"
315,Sachin Khedekar,"[('Drama', 7), ('Romance', 3), ('Action', 2)]"
316,Nushrat Bharucha,"[('Romance', 3), ('Comedy', 2), ('Crime', 2)]"
317,Ranveer Singh,"[('Drama', 6), ('Romance', 3), ('Comedy', 2)]"
318,Vikram Aditya,"[('Drama', 1), ('Romance', 1)]"
319,Madhu Acharya,"[('Action', 1), ('Comedy', 1), ('Drama', 1)]"
320,Kitu Gidwani,"[('Drama', 1), ('Family', 1)]"
321,Bhushan Agarwal,"[('Drama', 1), ('Romance', 1), ('Thriller', 1)]"
322,Ali Zafar,"[('Drama', 4), ('Comedy', 3), ('Romance', 3)]"
323,Vikrum Kumar,"[('Action', 1), ('Drama', 1), ('Mystery', 1)]"
324,Gurpreet Chadha,"[('Crime', 1), ('Drama', 1), ('Thriller', 1)]"
325,Barkha Madan,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
326,Rikkee,"[('Drama', 1), ('Fantasy', 1), ('Horror', 1)]"
327,Rajat Barmecha,"[('Drama', 1)]"
328,Deepti Naval,"[('Drama', 3), ('Crime', 1), ('Family', 1)]"
329,Prashant Narayanan,"[('Drama', 2), ('Comedy', 1), ('Romance', 1)]"
330,Caterina Lopez,"[('Crime', 1), ('Drama', 1), ('Thriller', 1)]"
331,Deepak Dobriyal,"[('Drama', 6), ('Comedy', 5), ('Crime', 2)]"
332,Rajpal Yadav,"[('Comedy', 13), ('Drama', 13), ('Crime', 3)]"
333,Sonali Gulati,"[('Documentary', 1), ('Biography', 1), ('Family', 1)]"
334,Supriya Pathak,"[('Drama', 5), ('Romance', 3), ('Comedy', 2)]"
335,Gulshan Grover,"[('Drama', 18), ('Action', 11), ('Romance', 9)]"
336,Zeenat Aman,"[('Drama', 2), ('Comedy', 1), ('Romance', 1)]"
337,Rituparna Sengupta,"[('Drama', 4), ('Comedy', 2), ('Romance', 2)]"
338,Aniruddh Agarwal,"[('Horror', 1)]"
339,Suzanne Bernert,"[('Comedy', 2), ('Drama', 1)]"
340,Nafisa Ali,"[('Drama', 4), ('Action', 2), ('Sport', 2)]"
341,Sohrab Ardeshir,"[('Comedy', 1)]"
342,Akshay Oberoi,"[('Comedy', 1), ('Horror', 1), ('Drama', 1)]"
343,Luna Rioumina,"[('Action', 1), ('Crime', 1), ('Thriller', 1)]"
344,Makarand Anaspure,"[('Comedy', 2), ('Drama', 2), ('Animation', 1)]"
345,Rachita Bhattacharya,"[('Crime', 1), ('Drama', 1), ('Mystery', 1)]"
346,Rahul Jaiswal,"[('Drama', 1), ('Thriller', 1)]"
347,Ashish Kattar,"[('Animation', 1), ('Action', 1), ('Adventure', 1)]"
348,Aditya Srivastava,"[('Drama', 3), ('Crime', 2), ('Thriller', 2)]"
349,Ishaan Manhaas,"[('Drama', 1), ('Romance', 1)]"
